currency_code,source,start_date,end_date,min_rate,max_rate,avg_rate,total_change_percent,avg_daily_change,start_rate,end_rate,start_to_end_change_percent
PHP,NBP,2024-12-01,2024-12-05,0.0696,0.07,0.0698,0.57,0.19,0.0696,0.07,0.57
ILS,NBP,2024-12-01,2024-12-05,1.1217,1.1301,1.1247,0.75,0.1,1.1217,1.1251,0.3
THB,NBP,2024-12-01,2024-12-05,0.1184,0.1189,0.1187,0.42,0.08,0.1184,0.1187,0.25
MXN,NBP,2024-12-01,2024-12-05,0.1998,0.2007,0.2003,0.45,0.08,0.1998,0.2003,0.25
MYR,NBP,2024-12-01,2024-12-05,0.9128,0.9173,0.9153,0.49,0.02,0.9154,0.9159,0.05
CZK,NBP,2024-12-01,2024-12-05,0.1698,0.1707,0.1702,0.53,-0.04,0.17,0.1698,-0.12
XDR,NBP,2024-12-01,2024-12-05,5.3454,5.3714,5.359,0.49,-0.06,5.3553,5.3454,-0.18
HUF,NBP,2024-12-01,2024-12-05,0.010346,0.010365,0.0104,0.18,-0.06,0.010365,0.010346,-0.18
ZAR,NBP,2024-12-01,2024-12-05,0.2246,0.2254,0.2251,0.36,-0.07,0.2251,0.2246,-0.22
SGD,NBP,2024-12-01,2024-12-05,3.0232,3.0345,3.0312,0.37,-0.11,3.0333,3.0232,-0.33
NOK,NBP,2024-12-01,2024-12-05,0.3669,0.3694,0.3685,0.68,-0.14,0.3684,0.3669,-0.41
IDR,NBP,2024-12-01,2024-12-05,0.00025569,0.00025677,0.0003,0.42,-0.14,0.00025677,0.00025569,-0.42
SEK,NBP,2024-12-01,2024-12-05,0.3707,0.3723,0.3713,0.43,-0.14,0.3723,0.3707,-0.43
TRY,NBP,2024-12-01,2024-12-05,0.1169,0.1176,0.1173,0.6,-0.17,0.1175,0.1169,-0.51
RON,NBP,2024-12-01,2024-12-05,0.8578,0.8625,0.8611,0.55,-0.18,0.8624,0.8578,-0.53
ISK,NBP,2024-12-01,2024-12-05,0.029344,0.0295,0.0294,0.53,-0.18,0.0295,0.029344,-0.53
EUR,NBP,2024-12-01,2024-12-05,4.2695,4.2927,4.2861,0.54,-0.18,4.2923,4.2695,-0.53
BGN,NBP,2024-12-01,2024-12-05,2.1829,2.1948,2.1914,0.55,-0.18,2.1946,2.1829,-0.53
GBP,NBP,2024-12-01,2024-12-05,5.1589,5.1871,5.1741,0.55,-0.18,5.1871,5.1589,-0.54
DKK,NBP,2024-12-01,2024-12-05,0.5724,0.5755,0.5746,0.54,-0.18,0.5755,0.5724,-0.54
CHF,NBP,2024-12-01,2024-12-05,4.5827,4.6089,4.6009,0.57,-0.18,4.6077,4.5827,-0.54
CNY,NBP,2024-12-01,2024-12-05,0.5582,0.5616,0.5603,0.61,-0.18,0.5613,0.5582,-0.55
UAH,NBP,2024-12-01,2024-12-05,0.0974,0.098,0.0978,0.62,-0.2,0.098,0.0974,-0.61
JPY,NBP,2024-12-01,2024-12-05,0.026979,0.027235,0.0271,0.95,-0.21,0.027154,0.026979,-0.64
USD,NBP,2024-12-01,2024-12-05,4.0554,4.0845,4.0757,0.72,-0.22,4.0827,4.0554,-0.67
HKD,NBP,2024-12-01,2024-12-05,0.5211,0.5248,0.5237,0.71,-0.23,0.5247,0.5211,-0.69
INR,NBP,2024-12-01,2024-12-05,0.047859,0.048214,0.0481,0.74,-0.23,0.048195,0.047859,-0.7
CLP,NBP,2024-12-01,2024-12-05,0.004159,0.004198,0.0042,0.94,-0.28,0.004194,0.004159,-0.83
CAD,NBP,2024-12-01,2024-12-05,2.8844,2.9104,2.902,0.9,-0.29,2.91,2.8844,-0.88
NZD,NBP,2024-12-01,2024-12-05,2.3782,2.4106,2.3952,1.36,-0.45,2.4106,2.3782,-1.34
AUD,NBP,2024-12-01,2024-12-05,2.6109,2.6514,2.6337,1.55,-0.51,2.6514,2.6109,-1.53
KRW,NBP,2024-12-01,2024-12-05,0.002861,0.00291,0.0029,1.71,-0.53,0.002907,0.002861,-1.58
BRL,NBP,2024-12-01,2024-12-05,0.6712,0.6835,0.676,1.83,-0.6,0.6835,0.6712,-1.8
